22:09:33  INFO     Run 20260505_220933 | split=split4 | model=MODEL4 | epochs=160 | fraction=0.10 | dropout=0.00 | frozen=0
22:09:33  INFO     Loading paths from data/split4
22:09:33  INFO     [train]
22:09:33  INFO         Music    4689 segments
22:09:34  INFO         Speech   4920 segments
22:09:34  INFO         Other    3671 segments
22:09:34  INFO     [val]
22:09:34  INFO         Music    954 segments
22:09:34  INFO         Speech   1022 segments
22:09:34  INFO         Other    927 segments
22:09:34  INFO     [test]
22:09:34  INFO         Music    1051 segments
22:09:34  INFO         Speech   1196 segments
22:09:34  INFO         Other    584 segments
22:09:34  INFO     Subsampled train set to 1328 files (fraction=0.10)
22:09:34  INFO     Class weights: {'Music': '0.99', 'Speech': '0.87', 'Other': '1.18'}
22:09:34  INFO     Building tf.data pipelines (mel spectrograms computed on-the-fly + cached)...
22:09:37  INFO     MobileNetV2: 154/154 layers trainable
22:09:37  INFO     Training | train=1328  val=2903  epochs=160
22:15:18  INFO     epoch  65 | loss 0.0000 | acc 1.0000 | val_loss 0.1573 | val_acc 0.9828 | 2.8s
22:15:21  INFO     epoch  66 | loss 0.0000 | acc 1.0000 | val_loss 0.1547 | val_acc 0.9831 | 2.8s
22:15:25  INFO     epoch  67 | loss 0.0000 | acc 1.0000 | val_loss 0.1522 | val_acc 0.9831 | 2.8s
22:15:28  INFO     epoch  68 | loss 0.0000 | acc 1.0000 | val_loss 0.1498 | val_acc 0.9828 | 2.9s
22:15:30  INFO     epoch  69 | loss 0.0000 | acc 1.0000 | val_loss 0.1476 | val_acc 0.9831 | 2.9s
22:15:33  INFO     epoch  70 | loss 0.0000 | acc 1.0000 | val_loss 0.1454 | val_acc 0.9831 | 2.8s
22:15:36  INFO     epoch  71 | loss 0.0000 | acc 1.0000 | val_loss 0.1433 | val_acc 0.9828 | 2.8s
22:15:39  INFO     epoch  72 | loss 0.0000 | acc 1.0000 | val_loss 0.1413 | val_acc 0.9831 | 2.9s
22:15:42  INFO     epoch  73 | loss 0.0000 | acc 1.0000 | val_loss 0.1393 | val_acc 0.9831 | 2.8s
22:15:45  INFO     epoch  74 | loss 0.0000 | acc 1.0000 | val_loss 0.1375 | val_acc 0.9835 | 2.8s
22:15:48  INFO     epoch  75 | loss 0.0000 | acc 1.0000 | val_loss 0.1357 | val_acc 0.9835 | 2.8s
22:15:51  INFO     epoch  76 | loss 0.0000 | acc 1.0000 | val_loss 0.1339 | val_acc 0.9838 | 2.8s
22:15:54  INFO     epoch  77 | loss 0.0000 | acc 1.0000 | val_loss 0.1323 | val_acc 0.9838 | 2.8s
22:15:57  INFO     epoch  78 | loss 0.0000 | acc 1.0000 | val_loss 0.1306 | val_acc 0.9842 | 2.8s
22:16:00  INFO     epoch  79 | loss 0.0000 | acc 1.0000 | val_loss 0.1290 | val_acc 0.9842 | 2.8s
22:16:03  INFO     epoch  80 | loss 0.0000 | acc 1.0000 | val_loss 0.1275 | val_acc 0.9842 | 2.8s
22:16:06  INFO     epoch  81 | loss 0.0000 | acc 1.0000 | val_loss 0.1261 | val_acc 0.9845 | 2.7s
22:16:09  INFO     epoch  82 | loss 0.0000 | acc 1.0000 | val_loss 0.1247 | val_acc 0.9845 | 2.8s
22:16:11  INFO     epoch  83 | loss 0.0000 | acc 1.0000 | val_loss 0.1234 | val_acc 0.9848 | 2.7s
22:16:15  INFO     epoch  84 | loss 0.0000 | acc 1.0000 | val_loss 0.1222 | val_acc 0.9848 | 2.7s
22:16:17  INFO     epoch  85 | loss 0.0000 | acc 1.0000 | val_loss 0.1210 | val_acc 0.9852 | 2.8s
22:16:21  INFO     epoch  86 | loss 0.0000 | acc 1.0000 | val_loss 0.1198 | val_acc 0.9855 | 2.7s
22:16:24  INFO     epoch  87 | loss 0.0000 | acc 1.0000 | val_loss 0.1187 | val_acc 0.9859 | 2.8s
22:16:27  INFO     epoch  88 | loss 0.0000 | acc 1.0000 | val_loss 0.1176 | val_acc 0.9866 | 2.7s
22:16:30  INFO     epoch  89 | loss 0.0000 | acc 1.0000 | val_loss 0.1166 | val_acc 0.9866 | 2.7s
22:16:33  INFO     epoch  90 | loss 0.0000 | acc 1.0000 | val_loss 0.1156 | val_acc 0.9866 | 2.8s
22:16:36  INFO     epoch  91 | loss 0.0000 | acc 1.0000 | val_loss 0.1146 | val_acc 0.9866 | 2.8s
22:16:39  INFO     epoch  92 | loss 0.0000 | acc 1.0000 | val_loss 0.1137 | val_acc 0.9866 | 2.8s
22:16:41  INFO     epoch  93 | loss 0.0000 | acc 1.0000 | val_loss 0.1127 | val_acc 0.9866 | 2.7s
22:16:44  INFO     epoch  94 | loss 0.0000 | acc 1.0000 | val_loss 0.1118 | val_acc 0.9866 | 2.8s
22:16:47  INFO     epoch  95 | loss 0.0000 | acc 1.0000 | val_loss 0.1109 | val_acc 0.9866 | 2.7s
22:16:49  INFO     epoch  96 | loss 0.0000 | acc 1.0000 | val_loss 0.1100 | val_acc 0.9866 | 2.7s
22:16:52  INFO     epoch  97 | loss 0.0000 | acc 1.0000 | val_loss 0.1092 | val_acc 0.9866 | 2.8s
22:16:55  INFO     epoch  98 | loss 0.0000 | acc 1.0000 | val_loss 0.1084 | val_acc 0.9869 | 2.8s
22:16:58  INFO     epoch  99 | loss 0.0000 | acc 1.0000 | val_loss 0.1077 | val_acc 0.9876 | 2.8s
22:17:02  INFO     epoch 100 | loss 0.0000 | acc 1.0000 | val_loss 0.1070 | val_acc 0.9876 | 2.8s
22:17:04  INFO     epoch 101 | loss 0.0000 | acc 1.0000 | val_loss 0.1063 | val_acc 0.9876 | 2.8s
22:17:07  INFO     epoch 102 | loss 0.0000 | acc 1.0000 | val_loss 0.1056 | val_acc 0.9876 | 2.8s
22:17:10  INFO     epoch 103 | loss 0.0000 | acc 1.0000 | val_loss 0.1050 | val_acc 0.9879 | 2.7s
22:17:13  INFO     epoch 104 | loss 0.0000 | acc 1.0000 | val_loss 0.1045 | val_acc 0.9883 | 2.7s
22:17:16  INFO     epoch 105 | loss 0.0000 | acc 1.0000 | val_loss 0.1040 | val_acc 0.9883 | 2.7s
22:17:19  INFO     epoch 106 | loss 0.0000 | acc 1.0000 | val_loss 0.1036 | val_acc 0.9879 | 2.7s
22:17:22  INFO     epoch 107 | loss 0.0000 | acc 1.0000 | val_loss 0.1032 | val_acc 0.9883 | 2.8s
22:17:24  INFO     epoch 108 | loss 0.0000 | acc 1.0000 | val_loss 0.1029 | val_acc 0.9883 | 2.7s
22:17:27  INFO     epoch 109 | loss 0.0000 | acc 1.0000 | val_loss 0.1026 | val_acc 0.9890 | 2.8s
22:17:30  INFO     epoch 110 | loss 0.0000 | acc 1.0000 | val_loss 0.1023 | val_acc 0.9890 | 2.8s
22:17:33  INFO     epoch 111 | loss 0.0000 | acc 1.0000 | val_loss 0.1021 | val_acc 0.9890 | 2.8s
22:17:36  INFO     epoch 112 | loss 0.0000 | acc 1.0000 | val_loss 0.1019 | val_acc 0.9890 | 2.8s
22:17:39  INFO     epoch 113 | loss 0.0000 | acc 1.0000 | val_loss 0.1018 | val_acc 0.9890 | 2.7s
22:17:41  INFO     epoch 114 | loss 0.0000 | acc 1.0000 | val_loss 0.1017 | val_acc 0.9893 | 2.8s
22:17:45  INFO     epoch 115 | loss 0.0000 | acc 1.0000 | val_loss 0.1016 | val_acc 0.9886 | 2.8s
22:17:47  INFO     epoch 116 | loss 0.0000 | acc 1.0000 | val_loss 0.1016 | val_acc 0.9886 | 2.8s
22:17:50  INFO     epoch 117 | loss 0.0000 | acc 1.0000 | val_loss 0.1016 | val_acc 0.9886 | 2.8s
22:17:53  INFO     epoch 118 | loss 0.0000 | acc 1.0000 | val_loss 0.1016 | val_acc 0.9886 | 2.8s
22:17:56  INFO     epoch 119 | loss 0.0000 | acc 1.0000 | val_loss 0.1016 | val_acc 0.9883 | 2.8s
22:17:59  INFO     epoch 120 | loss 0.0000 | acc 1.0000 | val_loss 0.1017 | val_acc 0.9879 | 2.8s
22:18:01  INFO     epoch 121 | loss 0.0000 | acc 1.0000 | val_loss 0.1018 | val_acc 0.9876 | 2.8s
22:18:04  INFO     epoch 122 | loss 0.0000 | acc 1.0000 | val_loss 0.1019 | val_acc 0.9879 | 2.7s
22:18:07  INFO     epoch 123 | loss 0.0000 | acc 1.0000 | val_loss 0.1020 | val_acc 0.9879 | 2.7s
22:18:10  INFO     epoch 124 | loss 0.0000 | acc 1.0000 | val_loss 0.1022 | val_acc 0.9879 | 2.8s
22:18:12  INFO     epoch 125 | loss 0.0000 | acc 1.0000 | val_loss 0.1023 | val_acc 0.9879 | 2.8s
22:18:15  INFO     epoch 126 | loss 0.0000 | acc 1.0000 | val_loss 0.1025 | val_acc 0.9883 | 2.7s
22:18:18  INFO     epoch 127 | loss 0.0000 | acc 1.0000 | val_loss 0.1027 | val_acc 0.9883 | 2.7s
22:18:21  INFO     epoch 128 | loss 0.0000 | acc 1.0000 | val_loss 0.1029 | val_acc 0.9883 | 2.8s
22:18:23  INFO     epoch 129 | loss 0.0000 | acc 1.0000 | val_loss 0.1032 | val_acc 0.9883 | 2.7s
22:18:26  INFO     epoch 130 | loss 0.0000 | acc 1.0000 | val_loss 0.1034 | val_acc 0.9883 | 2.8s
22:18:29  INFO     epoch 131 | loss 0.0000 | acc 1.0000 | val_loss 0.1036 | val_acc 0.9883 | 2.8s
22:18:32  INFO     epoch 132 | loss 0.0000 | acc 1.0000 | val_loss 0.1038 | val_acc 0.9883 | 2.8s
22:18:34  INFO     epoch 133 | loss 0.0000 | acc 1.0000 | val_loss 0.1040 | val_acc 0.9883 | 2.8s
22:18:37  INFO     epoch 134 | loss 0.0000 | acc 1.0000 | val_loss 0.1042 | val_acc 0.9883 | 2.7s
22:18:40  INFO     epoch 135 | loss 0.0000 | acc 1.0000 | val_loss 0.1045 | val_acc 0.9883 | 2.8s
22:18:43  INFO     epoch 136 | loss 0.0000 | acc 1.0000 | val_loss 0.1047 | val_acc 0.9883 | 2.8s
22:18:46  INFO     epoch 137 | loss 0.0000 | acc 1.0000 | val_loss 0.1049 | val_acc 0.9883 | 2.8s
22:18:48  INFO     epoch 138 | loss 0.0000 | acc 1.0000 | val_loss 0.1051 | val_acc 0.9883 | 2.8s
22:18:51  INFO     epoch 139 | loss 0.0000 | acc 1.0000 | val_loss 0.1054 | val_acc 0.9883 | 2.8s
22:18:54  INFO     epoch 140 | loss 0.0000 | acc 1.0000 | val_loss 0.1056 | val_acc 0.9883 | 2.8s
22:18:57  INFO     epoch 141 | loss 0.0000 | acc 1.0000 | val_loss 0.1058 | val_acc 0.9883 | 2.8s
22:19:00  INFO     epoch 142 | loss 0.0000 | acc 1.0000 | val_loss 0.1061 | val_acc 0.9883 | 2.8s
22:19:02  INFO     epoch 143 | loss 0.0000 | acc 1.0000 | val_loss 0.1063 | val_acc 0.9883 | 2.8s
22:19:05  INFO     epoch 144 | loss 0.0000 | acc 1.0000 | val_loss 0.1065 | val_acc 0.9883 | 2.8s
22:19:08  INFO     epoch 145 | loss 0.0000 | acc 1.0000 | val_loss 0.1068 | val_acc 0.9883 | 2.8s
22:19:11  INFO     epoch 146 | loss 0.0000 | acc 1.0000 | val_loss 0.1070 | val_acc 0.9883 | 2.8s
22:19:14  INFO     epoch 147 | loss 0.0000 | acc 1.0000 | val_loss 0.1072 | val_acc 0.9883 | 2.8s
22:19:16  INFO     epoch 148 | loss 0.0000 | acc 1.0000 | val_loss 0.1074 | val_acc 0.9886 | 2.8s
22:19:19  INFO     epoch 149 | loss 0.0000 | acc 1.0000 | val_loss 0.1077 | val_acc 0.9886 | 2.7s
22:19:22  INFO     epoch 150 | loss 0.0000 | acc 1.0000 | val_loss 0.1079 | val_acc 0.9886 | 2.7s
22:19:25  INFO     epoch 151 | loss 0.0000 | acc 1.0000 | val_loss 0.1081 | val_acc 0.9886 | 2.8s
22:19:27  INFO     epoch 152 | loss 0.0000 | acc 1.0000 | val_loss 0.1083 | val_acc 0.9886 | 2.8s
22:19:30  INFO     epoch 153 | loss 0.0000 | acc 1.0000 | val_loss 0.1086 | val_acc 0.9886 | 2.8s
22:19:33  INFO     epoch 154 | loss 0.0000 | acc 1.0000 | val_loss 0.1088 | val_acc 0.9886 | 2.8s
22:19:36  INFO     epoch 155 | loss 0.0000 | acc 1.0000 | val_loss 0.1090 | val_acc 0.9886 | 2.8s
22:19:38  INFO     epoch 156 | loss 0.0000 | acc 1.0000 | val_loss 0.1092 | val_acc 0.9890 | 2.8s
22:19:41  INFO     epoch 157 | loss 0.0000 | acc 1.0000 | val_loss 0.1094 | val_acc 0.9890 | 2.8s
22:19:44  INFO     epoch 158 | loss 0.0000 | acc 1.0000 | val_loss 0.1097 | val_acc 0.9890 | 2.7s
22:19:47  INFO     epoch 159 | loss 0.0000 | acc 1.0000 | val_loss 0.1099 | val_acc 0.9890 | 2.8s
22:19:50  INFO     epoch 160 | loss 0.0000 | acc 1.0000 | val_loss 0.1101 | val_acc 0.9890 | 2.8s
22:20:32  INFO     Test accuracy=0.9809
              precision    recall  f1-score   support

       Music       1.00      0.96      0.98      1051
      Speech       1.00      0.99      0.99      1196
       Other       0.93      0.99      0.96       584

    accuracy                           0.98      2831
   macro avg       0.97      0.98      0.98      2831
weighted avg       0.98      0.98      0.98      2831

22:20:32  INFO     Best model saved as: models/MODEL4.keras
22:20:33  INFO     Training curves saved: models/mobilenet_split4/training_history.png
22:20:33  INFO     Confusion matrix saved: models/mobilenet_split4/confusion.png
22:20:33  INFO     All outputs saved in: /home/kacper/szum/models/mobilenet_split4
